Yield,Value
yield_sig,63584.18
yield_sig_err,427.93
yield_comb_bkg,31021.0
yield_comb_bkg_err,945.59
yield_part_bkg,51876.69
yield_part_bkg_err,982.03
yield_part_bkg_jpsipi_pion,2416.2
yield_part_bkg_kstar,46819.44
yield_part_bkg_kstar_err,982.03
yield_part_bkg_kstar_kaon,9962.87
yield_part_bkg_kstar_kaon_err,188.6
yield_part_bkg_kstar_pion,6763.94
yield_part_bkg_kstar_pion_err,128.04
yield_part_bkg_k0star_kaon,19981.11
yield_part_bkg_k0star_kaon_err,378.25
yield_part_bkg_k0star_pion,10111.52
yield_part_bkg_k0star_pion_err,191.41
yield_part_bkg_chic1_kaon,5057.24
yield_part_bkg_chic1_kaon_err,95.73
