Yield,Value
yield_sig,66478.61
yield_sig_err,5.81
yield_comb_bkg,596.03
yield_comb_bkg_err,0.78
yield_part_bkg,846.2
yield_part_bkg_err,0.92
yield_part_bkg_jpsipi_pion,2526.19
yield_part_bkg_kstar,764.03
yield_part_bkg_kstar_err,0.92
yield_part_bkg_kstar_kaon,160.55
yield_part_bkg_kstar_kaon_err,0.18
yield_part_bkg_kstar_pion,114.01
yield_part_bkg_kstar_pion_err,0.12
yield_part_bkg_k0star_kaon,320.14
yield_part_bkg_k0star_kaon_err,0.35
yield_part_bkg_k0star_pion,169.32
yield_part_bkg_k0star_pion_err,0.18
yield_part_bkg_chic1_kaon,82.18
yield_part_bkg_chic1_kaon_err,0.09
