Yield,Value
yield_sig,62093.25
yield_sig_err,300.5
yield_comb_bkg,38203.2
yield_comb_bkg_err,716.56
yield_part_bkg,35869.63
yield_part_bkg_err,641.93
yield_part_bkg_jpsipi_pion,2359.54
yield_part_bkg_kstar,32386.24
yield_part_bkg_kstar_err,641.93
yield_part_bkg_kstar_kaon,6805.63
yield_part_bkg_kstar_kaon_err,121.8
yield_part_bkg_kstar_pion,4832.81
yield_part_bkg_kstar_pion_err,86.49
yield_part_bkg_k0star_kaon,13570.36
yield_part_bkg_k0star_kaon_err,242.86
yield_part_bkg_k0star_pion,7177.44
yield_part_bkg_k0star_pion_err,128.45
yield_part_bkg_chic1_kaon,3483.4
yield_part_bkg_chic1_kaon_err,62.34
