Ratio,Value
data_ratio_nominal_vs_2_9_relaxedCons_wExpcon,1.000+/-0.007
data_ratio_nominal_vs_2_8_relaxedCons_wExpcon,1.047+/-0.008
data_ratio_nominal_vs_2_7_relaxedCons_wExpcon,1.017+/-0.008
data_ratio_nominal_vs_2_6_relaxedCons_wExpcon,1.029+/-0.008
data_ratio_nominal_vs_2_5_relaxedCons_wExpcon,1.074+/-0.009
