Yield,Value
yield_sig,63608.25
yield_sig_err,404.21
yield_comb_bkg,32248.36
yield_comb_bkg_err,822.91
yield_part_bkg,53010.09
yield_part_bkg_err,822.73
yield_part_bkg_jpsipi_pion,2417.11
yield_part_bkg_kstar,47861.02
yield_part_bkg_kstar_err,822.73
yield_part_bkg_kstar_kaon,10207.17
yield_part_bkg_kstar_kaon_err,158.42
yield_part_bkg_kstar_pion,6886.29
yield_part_bkg_kstar_pion_err,106.88
yield_part_bkg_k0star_kaon,20430.89
yield_part_bkg_k0star_kaon_err,317.09
yield_part_bkg_k0star_pion,10336.67
yield_part_bkg_k0star_pion_err,160.43
yield_part_bkg_chic1_kaon,5149.07
yield_part_bkg_chic1_kaon_err,79.91
