Yield,Value
yield_sig,62044.48
yield_sig_err,301.44
yield_comb_bkg,38134.67
yield_comb_bkg_err,724.39
yield_part_bkg,35965.29
yield_part_bkg_err,652.42
yield_part_bkg_jpsipi_pion,2357.69
yield_part_bkg_kstar,32472.61
yield_part_bkg_kstar_err,652.42
yield_part_bkg_kstar_kaon,6823.78
yield_part_bkg_kstar_kaon_err,123.78
yield_part_bkg_kstar_pion,4845.69
yield_part_bkg_kstar_pion_err,87.9
yield_part_bkg_k0star_kaon,13606.55
yield_part_bkg_k0star_kaon_err,246.83
yield_part_bkg_k0star_pion,7196.58
yield_part_bkg_k0star_pion_err,130.55
yield_part_bkg_chic1_kaon,3492.69
yield_part_bkg_chic1_kaon_err,63.36
