Yield,Value
yield_sig,65447.65
yield_sig_err,400.95
yield_comb_bkg,35348.58
yield_comb_bkg_err,900.47
yield_part_bkg,42852.82
yield_part_bkg_err,932.97
yield_part_bkg_jpsipi_pion,2487.01
yield_part_bkg_kstar,38686.18
yield_part_bkg_kstar_err,932.97
yield_part_bkg_kstar_kaon,8179.28
yield_part_bkg_kstar_kaon_err,178.08
yield_part_bkg_kstar_pion,5643.82
yield_part_bkg_kstar_pion_err,122.87
yield_part_bkg_k0star_kaon,16455.76
yield_part_bkg_k0star_kaon_err,358.27
yield_part_bkg_k0star_pion,8407.32
yield_part_bkg_k0star_pion_err,183.04
yield_part_bkg_chic1_kaon,4166.63
yield_part_bkg_chic1_kaon_err,90.71
