Yield,Value
yield_sig,75024.05
yield_sig_err,1083.0
yield_comb_bkg,169.84
yield_comb_bkg_err,27.71
yield_part_bkg,74470.53
yield_part_bkg_err,403.18
yield_part_bkg_jpsipi_pion,2850.91
yield_part_bkg_kstar,67210.71
yield_part_bkg_kstar_err,403.18
yield_part_bkg_kstar_kaon,14302.0
yield_part_bkg_kstar_kaon_err,77.43
yield_part_bkg_kstar_pion,9709.84
yield_part_bkg_kstar_pion_err,52.57
yield_part_bkg_k0star_kaon,28683.48
yield_part_bkg_k0star_kaon_err,155.29
yield_part_bkg_k0star_pion,14515.39
yield_part_bkg_k0star_pion_err,78.59
yield_part_bkg_chic1_kaon,7259.82
yield_part_bkg_chic1_kaon_err,39.3
