Yield,Value
yield_sig,63912.56
yield_sig_err,414.31
yield_comb_bkg,33100.35
yield_comb_bkg_err,812.85
yield_part_bkg,51910.78
yield_part_bkg_err,807.5
yield_part_bkg_jpsipi_pion,2428.68
yield_part_bkg_kstar,46868.49
yield_part_bkg_kstar_err,807.5
yield_part_bkg_kstar_kaon,9995.5
yield_part_bkg_kstar_kaon_err,155.49
yield_part_bkg_kstar_pion,6743.49
yield_part_bkg_kstar_pion_err,104.9
yield_part_bkg_k0star_kaon,20007.2
yield_part_bkg_k0star_kaon_err,311.22
yield_part_bkg_k0star_pion,10122.31
yield_part_bkg_k0star_pion_err,157.46
yield_part_bkg_chic1_kaon,5042.29
yield_part_bkg_chic1_kaon_err,78.44
