Ratio,Value
data_ratio_nominal_vs_2_9,1.000+/-0.007
data_ratio_nominal_vs_2_85,1.034+/-0.007
data_ratio_nominal_vs_2_8,1.048+/-0.008
data_ratio_nominal_vs_2_75,1.040+/-0.009
data_ratio_nominal_vs_2_7,1.023+/-0.008
data_ratio_nominal_vs_2_6,1.040+/-0.009
data_ratio_nominal_vs_2_5,1.090+/-0.009
