Cut,Percent Difference
2.9,0.000+/-0.007
2.85,0.005+/-0.007
2.8,0.017+/-0.008
2.75,0.041+/-0.008
2.7,0.069+/-0.007
2.6,0.071+/-0.008
2.5,0.036+/-0.008
