Yield,Value
yield_sig,66409.42
yield_sig_err,615.82
yield_comb_bkg,34737.49
yield_comb_bkg_err,927.83
yield_part_bkg,48251.92
yield_part_bkg_err,1156.42
yield_part_bkg_jpsipi_pion,2523.56
yield_part_bkg_kstar,43565.03
yield_part_bkg_kstar_err,1156.42
yield_part_bkg_kstar_kaon,9290.98
yield_part_bkg_kstar_kaon_err,222.67
yield_part_bkg_kstar_pion,6268.18
yield_part_bkg_kstar_pion_err,150.22
yield_part_bkg_k0star_kaon,18597.02
yield_part_bkg_k0star_kaon_err,445.7
yield_part_bkg_k0star_pion,9408.85
yield_part_bkg_k0star_pion_err,225.49
yield_part_bkg_chic1_kaon,4686.89
yield_part_bkg_chic1_kaon_err,112.33
