Yield,Value
yield_sig,65083.81
yield_sig_err,407.7
yield_comb_bkg,34678.5
yield_comb_bkg_err,932.89
yield_part_bkg,43774.41
yield_part_bkg_err,971.67
yield_part_bkg_jpsipi_pion,2473.18
yield_part_bkg_kstar,39518.16
yield_part_bkg_kstar_err,971.67
yield_part_bkg_kstar_kaon,8355.18
yield_part_bkg_kstar_kaon_err,185.46
yield_part_bkg_kstar_pion,5765.2
yield_part_bkg_kstar_pion_err,127.97
yield_part_bkg_k0star_kaon,16809.66
yield_part_bkg_k0star_kaon_err,373.13
yield_part_bkg_k0star_pion,8588.12
yield_part_bkg_k0star_pion_err,190.63
yield_part_bkg_chic1_kaon,4256.24
yield_part_bkg_chic1_kaon_err,94.48
