Yield,Value
yield_sig,62098.31
yield_sig_err,300.19
yield_comb_bkg,38237.43
yield_comb_bkg_err,708.33
yield_part_bkg,35827.37
yield_part_bkg_err,633.33
yield_part_bkg_jpsipi_pion,2359.74
yield_part_bkg_kstar,32348.08
yield_part_bkg_kstar_err,633.33
yield_part_bkg_kstar_kaon,6797.61
yield_part_bkg_kstar_kaon_err,120.16
yield_part_bkg_kstar_pion,4827.11
yield_part_bkg_kstar_pion_err,85.33
yield_part_bkg_k0star_kaon,13554.37
yield_part_bkg_k0star_kaon_err,239.6
yield_part_bkg_k0star_pion,7168.98
yield_part_bkg_k0star_pion_err,126.73
yield_part_bkg_chic1_kaon,3479.29
yield_part_bkg_chic1_kaon_err,61.5
