name,value,uncertainty
double_ratio,0.9625963242609838,0.02053273337138415
jpsi_ratio,1.8380562188746408,0.010306247480554382
jpsi_eff_data,0.60943127400416,0.0031460587063876664
jpsi_eff_mc,0.3315629129000675,0.0007257270527942884
yield_jpsi_num_data,69490.4489264516,278.7761504399677
yield_jpsi_denom_data,114025.07861120572,370.4553683965132
yield_jpsi_num_mc,139523,373.52777674491625
yield_jpsi_denom_mc,420804,648.6940727338273
psi2s_ratio,1.9094777037360657,0.039297838346642945
psi2s_eff_data,0.5928702902560343,0.011311000511703457
psi2s_eff_mc,0.3104881974248927,0.0023963786871775365
yield_psi2s_num_data,5013.186400144937,74.2252688433905
yield_psi2s_denom_data,8455.789542059805,101.73917128227367
yield_psi2s_num_mc,11575,107.58717395675006
yield_psi2s_denom_mc,37280,193.08029417835473
