Ratio,Value
data_ratio_nominal_vs_2_9_wExpCon_v8,1.000+/-0.007
data_ratio_nominal_vs_2_8_wExpCon_v8,1.053+/-0.008
data_ratio_nominal_vs_2_7_wExpCon_v8,1.035+/-0.009
data_ratio_nominal_vs_2_6_wExpCon_v8,1.120+/-0.010
data_ratio_nominal_vs_2_5_wExpCon_v8,1.095+/-0.012
