Yield,Value
yield_sig,63186.58
yield_sig_err,405.89
yield_comb_bkg,30624.6
yield_comb_bkg_err,905.66
yield_part_bkg,52503.11
yield_part_bkg_err,923.14
yield_part_bkg_jpsipi_pion,2401.09
yield_part_bkg_kstar,47384.8
yield_part_bkg_kstar_err,923.14
yield_part_bkg_kstar_kaon,10083.17
yield_part_bkg_kstar_kaon_err,177.29
yield_part_bkg_kstar_pion,6845.62
yield_part_bkg_kstar_pion_err,120.36
yield_part_bkg_k0star_kaon,20222.39
yield_part_bkg_k0star_kaon_err,355.56
yield_part_bkg_k0star_pion,10233.62
yield_part_bkg_k0star_pion_err,179.93
yield_part_bkg_chic1_kaon,5118.31
yield_part_bkg_chic1_kaon_err,89.99
