Yield,Value
yield_sig,62173.67
yield_sig_err,299.59
yield_comb_bkg,38309.66
yield_comb_bkg_err,708.91
yield_part_bkg,35725.06
yield_part_bkg_err,633.23
yield_part_bkg_jpsipi_pion,2362.6
yield_part_bkg_kstar,32255.71
yield_part_bkg_kstar_err,633.23
yield_part_bkg_kstar_kaon,6778.2
yield_part_bkg_kstar_kaon_err,120.14
yield_part_bkg_kstar_pion,4813.33
yield_part_bkg_kstar_pion_err,85.32
yield_part_bkg_k0star_kaon,13515.67
yield_part_bkg_k0star_kaon_err,239.57
yield_part_bkg_k0star_pion,7148.51
yield_part_bkg_k0star_pion_err,126.71
yield_part_bkg_chic1_kaon,3469.36
yield_part_bkg_chic1_kaon_err,61.49
