Yield,Value
yield_sig,63605.66
yield_sig_err,421.31
yield_comb_bkg,32217.8
yield_comb_bkg_err,899.0
yield_part_bkg,53048.19
yield_part_bkg_err,940.16
yield_part_bkg_jpsipi_pion,2417.01
yield_part_bkg_kstar,47895.42
yield_part_bkg_kstar_err,940.16
yield_part_bkg_kstar_kaon,10214.51
yield_part_bkg_kstar_kaon_err,181.03
yield_part_bkg_kstar_pion,6891.24
yield_part_bkg_kstar_pion_err,122.13
yield_part_bkg_k0star_kaon,20445.57
yield_part_bkg_k0star_kaon_err,362.35
yield_part_bkg_k0star_pion,10344.1
yield_part_bkg_k0star_pion_err,183.33
yield_part_bkg_chic1_kaon,5152.77
yield_part_bkg_chic1_kaon_err,91.32
