Yield,Value
yield_sig,64656.71
yield_sig_err,441.84
yield_comb_bkg,32227.91
yield_comb_bkg_err,840.78
yield_part_bkg,49805.17
yield_part_bkg_err,872.35
yield_part_bkg_jpsipi_pion,2456.95
yield_part_bkg_kstar,44949.87
yield_part_bkg_kstar_err,872.35
yield_part_bkg_kstar_kaon,9565.04
yield_part_bkg_kstar_kaon_err,167.53
yield_part_bkg_kstar_pion,6493.85
yield_part_bkg_kstar_pion_err,113.74
yield_part_bkg_k0star_kaon,19183.23
yield_part_bkg_k0star_kaon_err,336.0
yield_part_bkg_k0star_pion,9707.75
yield_part_bkg_k0star_pion_err,170.03
yield_part_bkg_chic1_kaon,4855.3
yield_part_bkg_chic1_kaon_err,85.04
