Yield,Value
yield_sig,62052.29
yield_sig_err,301.26
yield_comb_bkg,38171.7
yield_comb_bkg_err,723.64
yield_part_bkg,35916.72
yield_part_bkg_err,651.0
yield_part_bkg_jpsipi_pion,2357.99
yield_part_bkg_kstar,32428.75
yield_part_bkg_kstar_err,651.0
yield_part_bkg_kstar_kaon,6814.57
yield_part_bkg_kstar_kaon_err,123.52
yield_part_bkg_kstar_pion,4839.15
yield_part_bkg_kstar_pion_err,87.71
yield_part_bkg_k0star_kaon,13588.17
yield_part_bkg_k0star_kaon_err,246.29
yield_part_bkg_k0star_pion,7186.86
yield_part_bkg_k0star_pion_err,130.26
yield_part_bkg_chic1_kaon,3487.97
yield_part_bkg_chic1_kaon_err,63.22
