Ratio,Value
data_ratio_nominal_vs_2_9_wExpCon_v8,1.000+/-0.007
data_ratio_nominal_vs_2_8_wExpCon_v8,1.054+/-0.008
data_ratio_nominal_vs_2_7_wExpCon_v8,1.038+/-0.008
data_ratio_nominal_vs_2_6_wExpCon_v8,1.071+/-0.011
data_ratio_nominal_vs_2_5_wExpCon_v8,1.056+/-0.013
