Ratio,Value
data_ratio_nominal_vs_2_9_relaxedCons_wExpcon,1.000+/-0.007
data_ratio_nominal_vs_2_8_relaxedCons_wExpcon,1.049+/-0.008
data_ratio_nominal_vs_2_7_relaxedCons_wExpcon,1.018+/-0.008
data_ratio_nominal_vs_2_6_relaxedCons_wExpcon,1.025+/-0.008
data_ratio_nominal_vs_2_5_relaxedCons_wExpcon,1.058+/-0.010
