Yield,Value
yield_sig,67138.16
yield_sig_err,589.45
yield_comb_bkg,35713.58
yield_comb_bkg_err,950.65
yield_part_bkg,47917.83
yield_part_bkg_err,1156.31
yield_part_bkg_jpsipi_pion,2551.25
yield_part_bkg_kstar,43269.18
yield_part_bkg_kstar_err,1156.31
yield_part_bkg_kstar_kaon,9232.74
yield_part_bkg_kstar_kaon_err,222.8
yield_part_bkg_kstar_pion,6212.45
yield_part_bkg_kstar_pion_err,149.91
yield_part_bkg_k0star_kaon,18498.79
yield_part_bkg_k0star_kaon_err,446.4
yield_part_bkg_k0star_pion,9325.2
yield_part_bkg_k0star_pion_err,225.03
yield_part_bkg_chic1_kaon,4648.65
yield_part_bkg_chic1_kaon_err,112.18
