Yield,Value
yield_sig,66681.17
yield_sig_err,423.67
yield_comb_bkg,35486.2
yield_comb_bkg_err,839.87
yield_part_bkg,48352.44
yield_part_bkg_err,843.24
yield_part_bkg_jpsipi_pion,2533.88
yield_part_bkg_kstar,43661.63
yield_part_bkg_kstar_err,843.24
yield_part_bkg_kstar_kaon,9316.48
yield_part_bkg_kstar_kaon_err,162.47
yield_part_bkg_kstar_pion,6268.8
yield_part_bkg_kstar_pion_err,109.32
yield_part_bkg_k0star_kaon,18666.58
yield_part_bkg_k0star_kaon_err,325.53
yield_part_bkg_k0star_pion,9409.77
yield_part_bkg_k0star_pion_err,164.1
yield_part_bkg_chic1_kaon,4690.82
yield_part_bkg_chic1_kaon_err,81.8
