Yield,Value
yield_sig,64672.21
yield_sig_err,484.14
yield_comb_bkg,32873.27
yield_comb_bkg_err,1009.55
yield_part_bkg,47770.28
yield_part_bkg_err,1112.22
yield_part_bkg_jpsipi_pion,2457.54
yield_part_bkg_kstar,43113.56
yield_part_bkg_kstar_err,1112.22
yield_part_bkg_kstar_kaon,9154.33
yield_part_bkg_kstar_kaon_err,213.14
yield_part_bkg_kstar_pion,6266.96
yield_part_bkg_kstar_pion_err,145.91
yield_part_bkg_k0star_kaon,18361.79
yield_part_bkg_k0star_kaon_err,427.51
yield_part_bkg_k0star_pion,9330.48
yield_part_bkg_k0star_pion_err,217.24
yield_part_bkg_chic1_kaon,4656.71
yield_part_bkg_chic1_kaon_err,108.42
