Yield,Value
yield_sig,64338.22
yield_sig_err,428.93
yield_comb_bkg,31770.55
yield_comb_bkg_err,816.78
yield_part_bkg,50461.6
yield_part_bkg_err,833.59
yield_part_bkg_jpsipi_pion,2444.85
yield_part_bkg_kstar,45542.31
yield_part_bkg_kstar_err,833.59
yield_part_bkg_kstar_kaon,9691.11
yield_part_bkg_kstar_kaon_err,160.09
yield_part_bkg_kstar_pion,6579.44
yield_part_bkg_kstar_pion_err,108.69
yield_part_bkg_k0star_kaon,19436.07
yield_part_bkg_k0star_kaon_err,321.07
yield_part_bkg_k0star_pion,9835.7
yield_part_bkg_k0star_pion_err,162.48
yield_part_bkg_chic1_kaon,4919.29
yield_part_bkg_chic1_kaon_err,81.26
