Yield,Value
yield_sig,67731.89
yield_sig_err,430.59
yield_comb_bkg,36350.41
yield_comb_bkg_err,830.4
yield_part_bkg,46745.8
yield_part_bkg_err,820.93
yield_part_bkg_jpsipi_pion,2573.81
yield_part_bkg_kstar,42210.85
yield_part_bkg_kstar_err,820.93
yield_part_bkg_kstar_kaon,9006.91
yield_part_bkg_kstar_kaon_err,158.18
yield_part_bkg_kstar_pion,6060.5
yield_part_bkg_kstar_pion_err,106.43
yield_part_bkg_k0star_kaon,18046.33
yield_part_bkg_k0star_kaon_err,316.92
yield_part_bkg_k0star_pion,9097.11
yield_part_bkg_k0star_pion_err,159.76
yield_part_bkg_chic1_kaon,4534.95
yield_part_bkg_chic1_kaon_err,79.64
