Yield,Value
yield_sig,65324.91
yield_sig_err,401.2
yield_comb_bkg,35106.58
yield_comb_bkg_err,907.9
yield_part_bkg,43165.63
yield_part_bkg_err,939.86
yield_part_bkg_jpsipi_pion,2482.35
yield_part_bkg_kstar,38968.59
yield_part_bkg_kstar_err,939.86
yield_part_bkg_kstar_kaon,8238.99
yield_part_bkg_kstar_kaon_err,179.39
yield_part_bkg_kstar_pion,5685.02
yield_part_bkg_kstar_pion_err,123.78
yield_part_bkg_k0star_kaon,16575.88
yield_part_bkg_k0star_kaon_err,360.91
yield_part_bkg_k0star_pion,8468.69
yield_part_bkg_k0star_pion_err,184.39
yield_part_bkg_chic1_kaon,4197.05
yield_part_bkg_chic1_kaon_err,91.38
