Yield,Value
yield_sig,63165.27
yield_sig_err,415.15
yield_comb_bkg,30552.6
yield_comb_bkg_err,984.03
yield_part_bkg,52586.85
yield_part_bkg_err,1024.41
yield_part_bkg_jpsipi_pion,2400.28
yield_part_bkg_kstar,47460.37
yield_part_bkg_kstar_err,1024.41
yield_part_bkg_kstar_kaon,10099.26
yield_part_bkg_kstar_kaon_err,196.74
yield_part_bkg_kstar_pion,6856.54
yield_part_bkg_kstar_pion_err,133.57
yield_part_bkg_k0star_kaon,20254.64
yield_part_bkg_k0star_kaon_err,394.57
yield_part_bkg_k0star_pion,10249.94
yield_part_bkg_k0star_pion_err,199.67
yield_part_bkg_chic1_kaon,5126.47
yield_part_bkg_chic1_kaon_err,99.87
