Yield,Value
yield_sig,64545.26
yield_sig_err,435.62
yield_comb_bkg,31759.28
yield_comb_bkg_err,851.21
yield_part_bkg,50355.42
yield_part_bkg_err,887.47
yield_part_bkg_jpsipi_pion,2452.72
yield_part_bkg_kstar,45446.48
yield_part_bkg_kstar_err,887.47
yield_part_bkg_kstar_kaon,9670.71
yield_part_bkg_kstar_kaon_err,170.44
yield_part_bkg_kstar_pion,6565.59
yield_part_bkg_kstar_pion_err,115.71
yield_part_bkg_k0star_kaon,19395.17
yield_part_bkg_k0star_kaon_err,341.82
yield_part_bkg_k0star_pion,9815.0
yield_part_bkg_k0star_pion_err,172.98
yield_part_bkg_chic1_kaon,4908.94
yield_part_bkg_chic1_kaon_err,86.52
