Yield,Value
yield_sig,66725.46
yield_sig_err,434.75
yield_comb_bkg,35442.27
yield_comb_bkg_err,862.95
yield_part_bkg,48359.59
yield_part_bkg_err,879.47
yield_part_bkg_jpsipi_pion,2535.57
yield_part_bkg_kstar,43668.08
yield_part_bkg_kstar_err,879.47
yield_part_bkg_kstar_kaon,9317.86
yield_part_bkg_kstar_kaon_err,169.46
yield_part_bkg_kstar_pion,6269.72
yield_part_bkg_kstar_pion_err,114.02
yield_part_bkg_k0star_kaon,18669.34
yield_part_bkg_k0star_kaon_err,339.52
yield_part_bkg_k0star_pion,9411.16
yield_part_bkg_k0star_pion_err,171.15
yield_part_bkg_chic1_kaon,4691.51
yield_part_bkg_chic1_kaon_err,85.32
