Yield,Value
yield_sig,62023.46
yield_sig_err,300.55
yield_comb_bkg,38141.26
yield_comb_bkg_err,725.29
yield_part_bkg,35968.3
yield_part_bkg_err,653.54
yield_part_bkg_jpsipi_pion,2356.89
yield_part_bkg_kstar,32475.32
yield_part_bkg_kstar_err,653.54
yield_part_bkg_kstar_kaon,6824.35
yield_part_bkg_kstar_kaon_err,124.0
yield_part_bkg_kstar_pion,4846.1
yield_part_bkg_kstar_pion_err,88.05
yield_part_bkg_k0star_kaon,13607.69
yield_part_bkg_k0star_kaon_err,247.25
yield_part_bkg_k0star_pion,7197.18
yield_part_bkg_k0star_pion_err,130.77
yield_part_bkg_chic1_kaon,3492.98
yield_part_bkg_chic1_kaon_err,63.47
