Yield,Value
yield_sig,65329.88
yield_sig_err,411.5
yield_comb_bkg,35102.79
yield_comb_bkg_err,936.26
yield_part_bkg,43165.41
yield_part_bkg_err,970.24
yield_part_bkg_jpsipi_pion,2482.54
yield_part_bkg_kstar,38968.38
yield_part_bkg_kstar_err,970.24
yield_part_bkg_kstar_kaon,8238.94
yield_part_bkg_kstar_kaon_err,185.19
yield_part_bkg_kstar_pion,5684.99
yield_part_bkg_kstar_pion_err,127.78
yield_part_bkg_k0star_kaon,16575.8
yield_part_bkg_k0star_kaon_err,372.58
yield_part_bkg_k0star_pion,8468.65
yield_part_bkg_k0star_pion_err,190.35
yield_part_bkg_chic1_kaon,4197.03
yield_part_bkg_chic1_kaon_err,94.34
