Yield,Value
yield_sig,63577.42
yield_sig_err,425.52
yield_comb_bkg,31006.64
yield_comb_bkg_err,907.73
yield_part_bkg,51896.84
yield_part_bkg_err,939.92
yield_part_bkg_jpsipi_pion,2415.94
yield_part_bkg_kstar,46837.63
yield_part_bkg_kstar_err,939.92
yield_part_bkg_kstar_kaon,9966.74
yield_part_bkg_kstar_kaon_err,180.51
yield_part_bkg_kstar_pion,6766.57
yield_part_bkg_kstar_pion_err,122.55
yield_part_bkg_k0star_kaon,19988.87
yield_part_bkg_k0star_kaon_err,362.02
yield_part_bkg_k0star_pion,10115.45
yield_part_bkg_k0star_pion_err,183.2
yield_part_bkg_chic1_kaon,5059.21
yield_part_bkg_chic1_kaon_err,91.63
